# generated 2017-01-13
#t1	t2	logical	text
HP:0045012	HP:0011976	t	f
HP:0001849	HP:0001829	t	f
HP:0004326	HP:0001513	t	f
HP:0002673	HP:0002812	t	f
HP:0030387	HP:0030388	f	t
HP:0008232	HP:0030341	f	t
HP:0011512	HP:0007894	f	t
HP:0007572	HP:0007535	f	t
HP:0012559	HP:0012560	f	t
HP:0030371	HP:0030372	f	t
HP:0000953	HP:0001010	f	t
HP:0001034	HP:0009719	f	t
HP:0001821	HP:0011313	t	t
HP:0001169	HP:0004283	t	t
HP:0002153	HP:0002900	t	t
HP:0011302	HP:0004279	t	t
HP:0003077	HP:0045014	t	t
HP:0010702	HP:0004313	t	t
HP:0009147	HP:0009148	t	t
HP:0011069	HP:0009804	t	t
HP:0010260	HP:0010265	t	t
