GO:0032191	GO:0032192
GO:0007239	GO:0007241
GO:0030456	GO:0030459
GO:0007247	GO:0000174
GO:0000193	GO:0000194
GO:0000199	GO:0000200
GO:0000169	GO:0000173
GO:0000187	GO:0000188
GO:0030439	GO:0030442
GO:0000205	GO:0000206
GO:0000186	GO:0051389
GO:0000185	GO:0051390
GO:0007536	GO:0007537
GO:0002438	GO:0002439
GO:0002525	GO:0002545
GO:0002526	GO:0002544
GO:0019620	GO:0018875
GO:0019250	GO:0019251
GO:0019646	GO:0019645
GO:0019576	GO:0019325
GO:0042195	GO:0019328
GO:0019564	GO:0019588
GO:0018935	GO:0018936
GO:0018946	GO:0018947
GO:0046190	GO:0046192
GO:0046191	GO:0046193
GO:0018959	GO:0042215
GO:0019409	GO:0019331
GO:0009060	GO:0009061
GO:0051337	GO:0007067
GO:0009971	GO:0055050
GO:0055048	GO:0055049
GO:0003083	GO:0003082
GO:0043168	GO:0043167
GO:0005253	GO:0005216
GO:0055081	GO:0050801
GO:0008509	GO:0015075
GO:0006820	GO:0006811
GO:0051211	GO:0051210
GO:0019954	GO:0019953
GO:0008306	GO:0046958
GO:0055059	GO:0055058
GO:0021866	GO:0021865
GO:0032279	GO:0032280
GO:0010055	GO:0010054
GO:0010056	GO:0010057
GO:0001683	GO:0001686
GO:0002352	GO:0002346
GO:0043057	GO:0043056
GO:0003024	GO:0003023
GO:0001982	GO:0001983
GO:0002812	GO:0002815
GO:0009833	GO:0009834
GO:0002354	GO:0002348
GO:0010406	GO:0010407
GO:0032050	GO:0032051
GO:0009858	GO:0009869
GO:0016569	GO:0016582
GO:0009778	GO:0009779
GO:0001687	GO:0001690
GO:0030872	GO:0030873
GO:0009282	GO:0009283
GO:0005842	GO:0005843
GO:0000180	GO:0000181
GO:0050829	GO:0050830
GO:0016311	GO:0016310
GO:0022859	GO:0022828
GO:0048282	GO:0048283
GO:0048263	GO:0048264
GO:0046545	GO:0046543
GO:0046546	GO:0046544
GO:0045137	GO:0045136
GO:0048588	GO:0048591
GO:0048589	GO:0048590
GO:0021748	GO:0021749
GO:0021516	GO:0021517
GO:0045504	GO:0045503
GO:0031905	GO:0031906
GO:0031901	GO:0031902
GO:0005769	GO:0005770
GO:0042139	GO:0042140
GO:0005714	GO:0005715
GO:0050933	GO:0050934
GO:0042462	GO:0042463
GO:0001754	GO:0042705
GO:0042706	GO:0042707
GO:0032457	GO:0032458
GO:0031443	GO:0031444
GO:0033542	GO:0033541
GO:0019099	GO:0019101
GO:0031658	GO:0031659
GO:0031661	GO:0031662
GO:0007547	GO:0007546
GO:0018992	GO:0018993
GO:0042078	GO:0048103
GO:0030718	GO:0035019
GO:0019660	GO:0019662
GO:0008225	GO:0008224
GO:0008368	GO:0051076
GO:0051636	GO:0051637
GO:0060022	GO:0060023
GO:0040021	GO:0042001
GO:0019764	GO:0019765
GO:0019768	GO:0019769
GO:0019771	GO:0019772
GO:0006827	GO:0000040
GO:0015336	GO:0015337
GO:0048249	GO:0009673
GO:0015398	GO:0015400
GO:0015362	GO:0015361
GO:0009675	GO:0009676
GO:0055097	GO:0055096
GO:0030985	GO:0030986
GO:0008331	GO:0008332
GO:0008646	GO:0008647
GO:0005358	GO:0005359
GO:0005300	GO:0022893
GO:0006830	GO:0006831
GO:0008035	GO:0030169
GO:0005321	GO:0005322
GO:0002327	GO:0002335
GO:0050929	GO:0050930
GO:0015103	GO:0008514
GO:0015698	GO:0015711
GO:0022890	GO:0015101
GO:0005626	GO:0005625
GO:0016539	GO:0030909
GO:0003011	GO:0003010
GO:0060072	GO:0016286
GO:0015934	GO:0015935
GO:0046756	GO:0046754
GO:0019077	GO:0046753
GO:0046757	GO:0046762
GO:0046758	GO:0046760
GO:0046759	GO:0046761
GO:0019100	GO:0019102
GO:0043227	GO:0043228
GO:0005762	GO:0005763
GO:0031512	GO:0031514
GO:0031512	GO:0031513
GO:0051371	GO:0051372
GO:0032036	GO:0032027
GO:0016905	GO:0004687
GO:0032037	GO:0032030
GO:0032038	GO:0032033
GO:0052222	GO:0052220
GO:0052122	GO:0052120
GO:0052134	GO:0052132
GO:0052234	GO:0052232
GO:0052135	GO:0052133
GO:0052235	GO:0052233
GO:0052130	GO:0052131
GO:0052223	GO:0052221
GO:0052123	GO:0052121
GO:0052136	GO:0052141
GO:0052236	GO:0052241
GO:0052139	GO:0052140
GO:0052239	GO:0052240
GO:0050919	GO:0050918
GO:0052219	GO:0052218
GO:0052119	GO:0052118
GO:0052145	GO:0052146
GO:0052245	GO:0052246
GO:0052144	GO:0052147
GO:0052244	GO:0052247
GO:0052129	GO:0052128
GO:0045068	GO:0045067
GO:0048060	GO:0048061
GO:0009959	GO:0009958
GO:0046957	GO:0046956
GO:0051840	GO:0051841
GO:0052196	GO:0052197
GO:0052492	GO:0052525
GO:0052261	GO:0052510
GO:0052282	GO:0052291
GO:0052311	GO:0052292
GO:0052268	GO:0052269
GO:0052267	GO:0052271
GO:0052275	GO:0052276
GO:0052477	GO:0052504
GO:0052478	GO:0052505
GO:0052479	GO:0052506
GO:0052480	GO:0052507
GO:0052481	GO:0052508
GO:0052254	GO:0052274
GO:0052561	GO:0052555
GO:0052260	GO:0052259
GO:0052309	GO:0052305
GO:0052266	GO:0052273
GO:0052490	GO:0052330
GO:0052253	GO:0052272
GO:0052493	GO:0052526
GO:0052484	GO:0052511
GO:0052563	GO:0052557
GO:0052485	GO:0052514
GO:0052486	GO:0052515
GO:0052487	GO:0052516
GO:0052491	GO:0052524
GO:0001899	GO:0001900
GO:0052087	GO:0052107
GO:0052202	GO:0052109
GO:0052070	GO:0052071
GO:0052069	GO:0052073
GO:0052078	GO:0052079
GO:0033661	GO:0052369
GO:0052003	GO:0052072
GO:0033668	GO:0052151
GO:0052037	GO:0052509
GO:0033663	GO:0033664
GO:0052005	GO:0052076
GO:0052562	GO:0052556
GO:0052036	GO:0052035
GO:0052170	GO:0052166
GO:0052068	GO:0052075
GO:0052041	GO:0052042
GO:0033660	GO:0052527
GO:0052004	GO:0052074
GO:0052029	GO:0052028
GO:0043127	GO:0043128
GO:0009788	GO:0009789
GO:0045753	GO:0045754
GO:0014058	GO:0014057
GO:0051632	GO:0051633
GO:0032232	GO:0032233
GO:0030835	GO:0030836
GO:0030837	GO:0030838
GO:0051126	GO:0051127
GO:0045757	GO:0045758
GO:0045759	GO:0045760
GO:0046007	GO:0042104
GO:0032926	GO:0032927
GO:0032336	GO:0032337
GO:0002865	GO:0002866
GO:0002878	GO:0002879
GO:0002674	GO:0002675
GO:0002823	GO:0002824
GO:0002820	GO:0002821
GO:0060169	GO:0060168
GO:0032250	GO:0032251
GO:0007194	GO:0045762
GO:0051460	GO:0051461
GO:0048083	GO:0048084
GO:0045709	GO:0045711
GO:0031158	GO:0031159
GO:0032348	GO:0032349
GO:0032345	GO:0032346
GO:0046636	GO:0046635
GO:0046639	GO:0046638
GO:0046642	GO:0046641
GO:0033242	GO:0033243
GO:0033239	GO:0033240
GO:0051953	GO:0051954
GO:0045763	GO:0045764
GO:0051956	GO:0051957
GO:0051942	GO:0051943
GO:0042985	GO:0042986
GO:0051886	GO:0051885
GO:0016525	GO:0045766
GO:0031541	GO:0031542
GO:0031538	GO:0031539
GO:0019987	GO:0045768
GO:0002809	GO:0006963
GO:0002787	GO:0002803
GO:0002798	GO:0002799
GO:0001814	GO:0001815
GO:0002811	GO:0006967
GO:0002789	GO:0002804
GO:0002801	GO:0002802
GO:0002599	GO:0002600
GO:0002590	GO:0002591
GO:0002596	GO:0002597
GO:0002587	GO:0002588
GO:0002584	GO:0002585
GO:0002581	GO:0002582
GO:0002602	GO:0002603
GO:0002593	GO:0002594
GO:0002578	GO:0002579
GO:0050858	GO:0050857
GO:0008348	GO:0002760
GO:0002806	GO:0002807
GO:0002785	GO:0002225
GO:0002795	GO:0002796
GO:0045689	GO:0045690
GO:0050689	GO:0002230
GO:0043066	GO:0043065
