Embarrassing input: <leukopenia>
Embarrassing input: <leukemia>
abnormal dark-adapted electroretinogram	HP:0030469	abnormal light-adapted electroretinogram	HP:0008275
abnormal hard palate morphology	HP:0100737	abnormal soft palate morphology	HP:0100736
abnormal large intestinal mucosa morphology	HP:0025090	abnormal small intestinal mucosa morphology	HP:0025129
acellular urinary casts	HP:0031199	cellular urinary casts	HP:0031197
activating thyroid-stimulating hormone receptor defect	HP:0011790	inactivating thyroid-stimulating hormone receptor defect	HP:0011791
acute bronchitis	HP:0012388	chronic bronchitis	HP:0004469
acute colitis	HP:0100282	chronic colitis	HP:0100281
acute constipation	HP:0012451	chronic constipation	HP:0012450
acute cutaneous wound	HP:0032675	chronic cutaneous wound	HP:0032676
acute disseminated intravascular coagulation	HP:0011880	chronic disseminated intravascular coagulation	HP:0005520
acute hepatic failure	HP:0006554	chronic hepatic failure	HP:0100626
acute hepatitis	HP:0200119	chronic hepatitis	HP:0200123
acute leukemia	HP:0002488	chronic leukemia	HP:0005558
acute myelomonocytic leukemia	HP:0004820	chronic myelomonocytic leukemia	HP:0012325
acute otitis media	HP:0000371	chronic otitis media	HP:0000389
acute pancreatitis	HP:0001735	chronic pancreatitis	HP:0006280
acute respiratory acidosis	HP:0012467	chronic respiratory acidosis	HP:0012466
acute sinusitis	HP:0000255	chronic sinusitis	HP:0011109
acute tubulointerstitial nephritis	HP:0004729	chronic tubulointerstitial nephritis	HP:0004743
acute	HP:0011009	chronic	HP:0011010
adenocarcinoma of the large intestine	HP:0040275	adenocarcinoma of the small intestine	HP:0040274
affected	HP:0032320	unaffected	HP:0032321
agranulocytosis	HP:0012234	granulocytosis	HP:0032310
alobar holoprosencephaly	HP:0006988	lobar holoprosencephaly	HP:0006870
anhidrotic ectodermal dysplasia	HP:0007476	hidrotic ectodermal dysplasia	HP:0007529
asymmetric peripheral demyelination	HP:0030176	symmetric peripheral demyelination	HP:0007262
atonic seizure	HP:0010819	tonic seizure	HP:0032792
atypical absence seizure	HP:0007270	typical absence seizure	HP:0011147
atypical absence status epilepticus	HP:0011151	typical absence status epilepticus	HP:0032863
cleft hard palate	HP:0410005	cleft soft palate	HP:0000185
closed comedo	HP:0025250	open comedo	HP:0025251
communicating hydrocephalus	HP:0001334	noncommunicating hydrocephalus	HP:0010953
complete atrioventricular canal defect	HP:0001674	partial atrioventricular canal defect	HP:0011577
complete breech presentation	HP:0010860	incomplete breech presentation	HP:0010861
complete congenital stationary night blindness	HP:0030640	incomplete congenital stationary night blindness	HP:0030641
complete diaphragmatic absence of pericardium	HP:0011630	partial diaphragmatic absence of pericardium	HP:0011635
complete duplication of the 1st metatarsal	HP:0010098	partial duplication of the 1st metatarsal	HP:0010099
complete duplication of the distal phalanges of the hand	HP:0010001	partial duplication of the distal phalanges of the hand	HP:0010004
complete duplication of the distal phalanx of the 2nd finger	HP:0009950	partial duplication of the distal phalanx of the 2nd finger	HP:0009951
complete duplication of the distal phalanx of the 2nd toe	HP:0010424	partial duplication of the distal phalanx of the 2nd toe	HP:0010425
complete duplication of the distal phalanx of the 3rd finger	HP:0009965	partial duplication of the distal phalanx of the 3rd finger	HP:0009968
complete duplication of the distal phalanx of the 3rd toe	HP:0100407	partial duplication of the distal phalanx of the 3rd toe	HP:0100416
complete duplication of the distal phalanx of the 4th finger	HP:0009978	partial duplication of the distal phalanx of the 4th finger	HP:0009981
complete duplication of the distal phalanx of the 4th toe	HP:0100408	partial duplication of the distal phalanx of the 4th toe	HP:0100417
complete duplication of the distal phalanx of the 5th finger	HP:0009991	partial duplication of the distal phalanx of the 5th finger	HP:0009994
complete duplication of the distal phalanx of the 5th toe	HP:0100409	partial duplication of the distal phalanx of the 5th toe	HP:0100418
complete duplication of the distal phalanx of the hallux	HP:0010096	partial duplication of the distal phalanx of the hallux	HP:0010097
complete duplication of the middle phalanges of the hand	HP:0010002	partial duplication of the middle phalanges of the hand	HP:0010005
complete duplication of the middle phalanx of the 2nd finger	HP:0009952	partial duplication of the middle phalanx of the 2nd finger	HP:0009953
complete duplication of the middle phalanx of the 2nd toe	HP:0010426	partial duplication of the middle phalanx of the 2nd toe	HP:0010427
complete duplication of the middle phalanx of the 3rd finger	HP:0009966	partial duplication of the middle phalanx of the 3rd finger	HP:0009969
complete duplication of the middle phalanx of the 3rd toe	HP:0100410	partial duplication of the middle phalanx of the 3rd toe	HP:0100419
complete duplication of the middle phalanx of the 4th finger	HP:0009979	partial duplication of the middle phalanx of the 4th finger	HP:0009982
complete duplication of the middle phalanx of the 4th toe	HP:0100411	partial duplication of the middle phalanx of the 4th toe	HP:0100420
complete duplication of the middle phalanx of the 5th finger	HP:0009992	partial duplication of the middle phalanx of the 5th finger	HP:0009995
complete duplication of the middle phalanx of the 5th toe	HP:0100412	partial duplication of the middle phalanx of the 5th toe	HP:0100421
complete duplication of the phalanges of the 2nd finger	HP:0009957	partial duplication of the phalanges of the 2nd finger	HP:0009956
complete duplication of the phalanges of the 3rd finger	HP:0009960	partial duplication of the phalanges of the 3rd finger	HP:0009961
complete duplication of the phalanges of the 4th finger	HP:0009973	partial duplication of the phalanges of the 4th finger	HP:0009974
complete duplication of the phalanges of the 5th finger	HP:0009986	partial duplication of the phalanges of the 5th finger	HP:0009987
complete duplication of the proximal phalanges of the hand	HP:0010000	partial duplication of the proximal phalanges of the hand	HP:0010003
complete duplication of the proximal phalanx of the 2nd finger	HP:0009954	partial duplication of the proximal phalanx of the 2nd finger	HP:0009955
complete duplication of the proximal phalanx of the 2nd toe	HP:0010422	partial duplication of the proximal phalanx of the 2nd toe	HP:0010423
complete duplication of the proximal phalanx of the 3rd finger	HP:0009967	partial duplication of the proximal phalanx of the 3rd finger	HP:0009970
complete duplication of the proximal phalanx of the 3rd toe	HP:0100413	partial duplication of the proximal phalanx of the 3rd toe	HP:0100422
complete duplication of the proximal phalanx of the 4th finger	HP:0009980	partial duplication of the proximal phalanx of the 4th finger	HP:0009983
complete duplication of the proximal phalanx of the 4th toe	HP:0100414	partial duplication of the proximal phalanx of the 4th toe	HP:0100423
complete duplication of the proximal phalanx of the 5th finger	HP:0009993	partial duplication of the proximal phalanx of the 5th finger	HP:0009996
complete duplication of the proximal phalanx of the 5th toe	HP:0100415	partial duplication of the proximal phalanx of the 5th toe	HP:0100424
complete duplication of the proximal phalanx of the hallux	HP:0010094	partial duplication of the proximal phalanx of the hallux	HP:0010095
complete duplication of thumb phalanx	HP:0009943	partial duplication of thumb phalanx	HP:0009944
complete left sided absence of pericardium	HP:0011633	partial left sided absence of pericardium	HP:0011634
complete right sided absence of pericardium	HP:0011631	partial right sided absence of pericardium	HP:0011632
complex febrile seizure	HP:0011172	simple febrile seizure	HP:0011171
complex renal cyst	HP:0032963	simple renal cyst	HP:0012581
conjugated hyperbilirubinemia	HP:0002908	unconjugated hyperbilirubinemia	HP:0008282
cyclophoria	HP:0031777	incyclophoria	HP:0031778
cyclotropia	HP:0031776	incyclotropia	HP:0031726
decreased activity of mitochondrial respiratory chain	HP:0008972	increased activity of mitochondrial respiratory chain	HP:0040015
decreased adiponectin level	HP:0030685	increased adiponectin level	HP:0030686
decreased adipose tissue	HP:0040063	increased adipose tissue	HP:0009126
decreased antimullerian hormone level	HP:0031103	increased antimullerian hormone level	HP:0031102
decreased arden ratio of electrooculogram	HP:0008179	increased arden ratio of electrooculogram	HP:0031155
decreased basophil count	HP:0031808	increased basophil count	HP:0031807
decreased biotinidase level	HP:0410145	increased biotinidase level	HP:0410146
decreased blood drug concentration	HP:0020171	increased blood drug concentration	HP:0020170
decreased body fat percentage	HP:0041079	increased body fat percentage	HP:0025521
decreased body mass index	HP:0045082	increased body mass index	HP:0031418
decreased body weight	HP:0004325	increased body weight	HP:0004324
decreased circulating 18-hydroxycortisone level	HP:0020199	increased circulating 18-hydroxycortisone level	HP:0020200
decreased circulating a-type natriuretic peptide level	HP:0020184	increased circulating a-type natriuretic peptide level	HP:0020183
decreased circulating acth level	HP:0002920	increased circulating acth level	HP:0003154
decreased circulating androgen level	HP:0030349	increased circulating androgen level	HP:0030348
decreased circulating antibody level	HP:0004313	increased circulating antibody level	HP:0010702
decreased circulating beta-2-microglobulin level	HP:0025347	increased circulating beta-2-microglobulin level	HP:0025346
decreased circulating beta-c-terminal telopeptide level	HP:0031426	increased circulating beta-c-terminal telopeptide level	HP:0031425
decreased circulating ceruloplasmin concentration	HP:0010837	increased circulating ceruloplasmin concentration	HP:0033145
decreased circulating chylomicron concentration	HP:0031242	increased circulating chylomicron concentration	HP:0012238
decreased circulating copper concentration	HP:0011967	increased circulating copper concentration	HP:0032254
decreased circulating corticosterone level	HP:0032363	increased circulating corticosterone level	HP:0032362
decreased circulating cortisol level	HP:0008163	increased circulating cortisol level	HP:0003118
decreased circulating free fatty acid level	HP:0040299	increased circulating free fatty acid level	HP:0030781
decreased circulating free t3	HP:0032210	increased circulating free t3	HP:0011788
decreased circulating free t4 level	HP:0033078	increased circulating free t4 level	HP:0033077
decreased circulating globulin level	HP:0032312	increased circulating globulin level	HP:0032311
decreased circulating gonadotropin level	HP:0030339	increased circulating gonadotropin level	HP:0000837
decreased circulating heparan sulfate level	HP:0410343	increased circulating heparan sulfate level	HP:0410342
decreased circulating iga level	HP:0002720	increased circulating iga level	HP:0003261
decreased circulating igg level	HP:0004315	increased circulating igg level	HP:0003237
decreased circulating igg1 level	HP:0032136	increased circulating igg1 level	HP:0032298
decreased circulating igg2 level	HP:0008348	increased circulating igg2 level	HP:0032299
decreased circulating igg3 level	HP:0032137	increased circulating igg3 level	HP:0032297
decreased circulating igg4 level	HP:0032138	increased circulating igg4 level	HP:0032300
decreased circulating osteocalcin level	HP:0031429	increased circulating osteocalcin level	HP:0031428
decreased circulating progesterone	HP:0008233	increased circulating progesterone	HP:0031216
decreased circulating purine concentration	HP:0004369	increased circulating purine concentration	HP:0004368
decreased circulating renin level	HP:0003351	increased circulating renin level	HP:0000848
decreased circulating selenium concentration	HP:0033192	increased circulating selenium concentration	HP:0033191
decreased circulating t4 level	HP:0031507	increased circulating t4 level	HP:0031506
decreased complex n-glycan level	HP:0410353	increased complex n-glycan level	HP:0410352
decreased core 1 o-glycan level	HP:0410361	increased core 1 o-glycan level	HP:0410360
decreased corneal thickness	HP:0100689	increased corneal thickness	HP:0011487
decreased csf alanine concentration	HP:0500234	increased csf alanine concentration	HP:0500233
decreased csf albumin concentration	HP:0025458	increased csf albumin concentration	HP:0500239
decreased csf arginine concentration	HP:0500204	increased csf arginine concentration	HP:0500203
decreased csf glutamate concentration	HP:0500201	increased csf glutamate concentration	HP:0500200
decreased csf glutamine concentration	HP:0500198	increased csf glutamine concentration	HP:0500197
decreased csf histidine concentration	HP:0500237	increased csf histidine concentration	HP:0500236
decreased csf isoleucine concentration	HP:0500194	increased csf isoleucine concentration	HP:0500193
decreased csf leucine concentration	HP:0500190	increased csf leucine concentration	HP:0500191
decreased csf lysine concentration	HP:0500207	increased csf lysine concentration	HP:0500208
decreased csf phenylalanine concentration	HP:0500224	increased csf phenylalanine concentration	HP:0500223
decreased csf protein	HP:0025457	increased csf protein	HP:0002922
decreased csf serine concentration	HP:0500228	increased csf serine concentration	HP:0500227
decreased csf threonine concentration	HP:0500213	increased csf threonine concentration	HP:0500212
decreased csf tyrosine concentration	HP:0500221	increased csf tyrosine concentration	HP:0500220
decreased csf valine concentration	HP:0500188	increased csf valine concentration	HP:0500187
decreased csf/serum albumin ratio	HP:0030978	increased csf/serum albumin ratio	HP:0025459
decreased cystatin c level	HP:0032997	increased cystatin c level	HP:0032998
decreased dlco	HP:0045051	increased dlco	HP:0045050
decreased female libido	HP:0030018	increased female libido	HP:0030019
decreased femoral torsion	HP:0031070	increased femoral torsion	HP:0031068
decreased fetal movement	HP:0001558	increased fetal movement	HP:0010519
decreased fibular diameter	HP:0031107	increased fibular diameter	HP:0012107
decreased fucosylation of n-linked protein glycosylation	HP:0012353	increased fucosylation of n-linked protein glycosylation	HP:0012354
decreased fucosylation of o-linked protein glycosylation	HP:0012360	increased fucosylation of o-linked protein glycosylation	HP:0012361
decreased glomerular filtration rate	HP:0012213	increased glomerular filtration rate	HP:0012214
decreased glucagon level	HP:0030689	increased glucagon level	HP:0030688
decreased glucose-6-phosphate dehydrogenase level in blood	HP:0410179	increased glucose-6-phosphate dehydrogenase level in blood	HP:0410178
decreased glucose-6-phosphate dehydrogenase level in dried blood spot	HP:0410182	increased glucose-6-phosphate dehydrogenase level in dried blood spot	HP:0410181
decreased glucose-6-phosphate dehydrogenase level in leukocytes	HP:0410190	increased glucose-6-phosphate dehydrogenase level in leukocytes	HP:0410191
decreased glucose-6-phosphate dehydrogenase level in red blood cells	HP:0410188	increased glucose-6-phosphate dehydrogenase level in red blood cells	HP:0410189
decreased glucose-6-phosphate dehydrogenase level in tissue	HP:0410187	increased glucose-6-phosphate dehydrogenase level in tissue	HP:0410186
decreased hdl cholesterol concentration	HP:0003233	increased hdl cholesterol concentration	HP:0012184
decreased hdl2a concentration	HP:0032421	increased hdl2a concentration	HP:0032420
decreased hdl2b concentration	HP:0032423	increased hdl2b concentration	HP:0032424
decreased hdl3a concentration	HP:0032429	increased hdl3a concentration	HP:0032428
decreased hdl3b concentration	HP:0032431	increased hdl3b concentration	HP:0032430
decreased hdl3c concentration	HP:0032433	increased hdl3c concentration	HP:0032432
decreased head circumference	HP:0040195	increased head circumference	HP:0040194
decreased heart rate variability	HP:0031861	increased heart rate variability	HP:0031862
decreased helper t cell proportion	HP:0008165	increased helper t cell proportion	HP:0500264
