NCBITaxon:399255	NCBITaxon:113152
NCBITaxon:644138	NCBITaxon:66546
NCBITaxon:118452	NCBITaxon:98874
NCBITaxon:95181	NCBITaxon:47767
NCBITaxon:303703	NCBITaxon:94230
NCBITaxon:273051	NCBITaxon:6344
NCBITaxon:112815	NCBITaxon:572816
NCBITaxon:341267	NCBITaxon:947273
NCBITaxon:222786	NCBITaxon:127308
NCBITaxon:222786	NCBITaxon:360967
NCBITaxon:407932	NCBITaxon:426866
NCBITaxon:76642	NCBITaxon:643096
NCBITaxon:3816	NCBITaxon:316456
NCBITaxon:365742	NCBITaxon:142736
NCBITaxon:341013	NCBITaxon:43652
NCBITaxon:137430	NCBITaxon:295560
NCBITaxon:706633	NCBITaxon:87480
NCBITaxon:43742	NCBITaxon:43743
NCBITaxon:55936	NCBITaxon:700133
NCBITaxon:55936	NCBITaxon:83937
NCBITaxon:446226	NCBITaxon:337493
NCBITaxon:44213	NCBITaxon:3426
NCBITaxon:355529	NCBITaxon:911386
NCBITaxon:187525	NCBITaxon:377702
NCBITaxon:13327	NCBITaxon:570931
NCBITaxon:102634	NCBITaxon:201851
NCBITaxon:474068	NCBITaxon:166848
NCBITaxon:561731	NCBITaxon:305559
NCBITaxon:141922	NCBITaxon:141928
NCBITaxon:545769	NCBITaxon:7698
NCBITaxon:412651	NCBITaxon:412647
NCBITaxon:273996	NCBITaxon:8697
NCBITaxon:26005	NCBITaxon:2916
NCBITaxon:272320	NCBITaxon:474159
NCBITaxon:352881	NCBITaxon:9860
NCBITaxon:33952	NCBITaxon:180163
NCBITaxon:474091	NCBITaxon:223500
NCBITaxon:159606	NCBITaxon:38036
NCBITaxon:79813	NCBITaxon:5150
NCBITaxon:315540	NCBITaxon:221966
NCBITaxon:354746	NCBITaxon:115251
NCBITaxon:231154	NCBITaxon:642577
NCBITaxon:229769	NCBITaxon:229767
NCBITaxon:437165	NCBITaxon:52619
NCBITaxon:288553	NCBITaxon:129854
NCBITaxon:44938	NCBITaxon:1048
NCBITaxon:197678	NCBITaxon:493668
NCBITaxon:197678	NCBITaxon:245897
NCBITaxon:694927	NCBITaxon:13438
NCBITaxon:884222	NCBITaxon:263080
NCBITaxon:344180	NCBITaxon:138872
NCBITaxon:33215	NCBITaxon:33317
NCBITaxon:319972	NCBITaxon:158800
NCBITaxon:317754	NCBITaxon:272238
NCBITaxon:49288	NCBITaxon:49415
NCBITaxon:322717	NCBITaxon:115461
NCBITaxon:219331	NCBITaxon:753294
NCBITaxon:166334	NCBITaxon:166254
NCBITaxon:474093	NCBITaxon:22999
NCBITaxon:59808	NCBITaxon:153374
NCBITaxon:219318	NCBITaxon:466628
NCBITaxon:6129	NCBITaxon:46702
NCBITaxon:41466	NCBITaxon:71041
NCBITaxon:75336	NCBITaxon:369634
NCBITaxon:416595	NCBITaxon:168729
NCBITaxon:475201	NCBITaxon:475200
NCBITaxon:342375	NCBITaxon:102303
NCBITaxon:92446	NCBITaxon:180823
NCBITaxon:86705	NCBITaxon:32112
NCBITaxon:706853	NCBITaxon:9869
NCBITaxon:60308	NCBITaxon:354898
NCBITaxon:316673	NCBITaxon:30064
NCBITaxon:203142	NCBITaxon:113118
