PATO:0002046	PATO:0002036
PATO:0000460	PATO:0000461
PATO:0000462	PATO:0000467
PATO:0002354	PATO:0002355
PATO:0000389	PATO:0001863
PATO:0002185	PATO:0002184
PATO:0002331	PATO:0002332
PATO:0001459	PATO:0001460
PATO:0001455	PATO:0001456
PATO:0001653	PATO:0001654
PATO:0002506	PATO:0001367
PATO:0002092	PATO:0001483
PATO:0001385	PATO:0001393
PATO:0002191	PATO:0002192
PATO:0000504	PATO:0000505
PATO:0000616	PATO:0000632
PATO:0000688	PATO:0000695
PATO:0001813	PATO:0001439
PATO:0001901	PATO:0001900
PATO:0000757	PATO:0000758
PATO:0000402	PATO:0000414
PATO:0000608	PATO:0000610
PATO:0000404	PATO:0000415
PATO:0000336	PATO:0000331
PATO:0000344	PATO:0000345
PATO:0005012	PATO:0005013
PATO:0001504	PATO:0001503
PATO:0001485	PATO:0002452
PATO:0000463	PATO:0000464
PATO:0000689	PATO:0000690
PATO:0001690	PATO:0001691
PATO:0000769	PATO:0000770
PATO:0000619	PATO:0000633
PATO:0001468	PATO:0001469
PATO:0001167	PATO:0001168
PATO:0001244	PATO:0001243
PATO:0001245	PATO:0001246
PATO:0001248	PATO:0001247
PATO:0001249	PATO:0001250
PATO:0001251	PATO:0001252
PATO:0001254	PATO:0001253
PATO:0001256	PATO:0001255
PATO:0000501	PATO:0000503
PATO:0001259	PATO:0001260
PATO:0001288	PATO:0001289
PATO:0001261	PATO:0001262
PATO:0001705	PATO:0001704
PATO:0002412	PATO:0002413
PATO:0001263	PATO:0001264
PATO:0002271	PATO:0002270
PATO:0001843	PATO:0001844
PATO:0002334	PATO:0002333
PATO:0002072	PATO:0002071
PATO:0001765	PATO:0001764
PATO:0001997	PATO:0000470
PATO:0002328	PATO:0002327
PATO:0002042	PATO:0002043
PATO:0002058	PATO:0002057
PATO:0002075	PATO:0002074
PATO:0000761	PATO:0000760
PATO:0002286	PATO:0002285
PATO:0002297	PATO:0002298
PATO:0001899	PATO:0001898
PATO:0001796	PATO:0001795
PATO:0015023	PATO:0015022
PATO:0001163	PATO:0001162
PATO:0001581	PATO:0001580
PATO:0001860	PATO:0001859
PATO:0001593	PATO:0001592
PATO:0015015	PATO:0015014
PATO:0001472	PATO:0001596
PATO:0001715	PATO:0001714
PATO:0000375	PATO:0000374
PATO:0001672	PATO:0001671
PATO:0001311	PATO:0001312
PATO:0000499	PATO:0000498
PATO:0015003	PATO:0015004
PATO:0001675	PATO:0001676
PATO:0002288	PATO:0002287
PATO:0001689	PATO:0001688
PATO:0001817	PATO:0001816
PATO:0001696	PATO:0001695
PATO:0001830	PATO:0001831
PATO:0001724	PATO:0001723
PATO:0001834	PATO:0001835
PATO:0001777	PATO:0001776
PATO:0001838	PATO:0001839
PATO:0001927	PATO:0001926
PATO:0002246	PATO:0002245
PATO:0002056	PATO:0002055
PATO:0000381	PATO:0000380
PATO:0001624	PATO:0001625
PATO:0000569	PATO:0000570
PATO:0015011	PATO:0015010
PATO:0001783	PATO:0001782
PATO:0000574	PATO:0000573
PATO:0001604	PATO:0001603
PATO:0040033	PATO:0040032
PATO:0001684	PATO:0001683
PATO:0002018	PATO:0002017
PATO:0001833	PATO:0001832
PATO:0001726	PATO:0001725
PATO:0001790	PATO:0001788
PATO:0001562	PATO:0001563
PATO:0002283	PATO:0002282
PATO:0002303	PATO:0002305
PATO:0002052	PATO:0002051
PATO:0001892	PATO:0001893
PATO:0002028	PATO:0002029
PATO:0001656	PATO:0001657
PATO:0001713	PATO:0001712
PATO:0001578	PATO:0001577
PATO:0002222	PATO:0002221
PATO:0001697	PATO:0001698
PATO:0002251	PATO:0002250
PATO:0015025	PATO:0015024
PATO:0001476	PATO:0001475
PATO:0001575	PATO:0001576
PATO:0002302	PATO:0002304
PATO:0010004	PATO:0010003
PATO:0040042	PATO:0040043
PATO:0002301	PATO:0002300
PATO:0001743	PATO:0001742
PATO:0002145	PATO:0002144
PATO:0000911	PATO:0000912
PATO:0001651	PATO:0001650
PATO:0001554	PATO:0001553
PATO:0001552	PATO:0001551
PATO:0001807	PATO:0001808
PATO:0001550	PATO:0001549
PATO:0000587	PATO:0000586
PATO:0001664	PATO:0001663
PATO:0055001	PATO:0055002
PATO:0000304	PATO:0000303
PATO:0015028	PATO:0015027
PATO:0001779	PATO:0001778
PATO:0001670	PATO:0001669
PATO:0001306	PATO:0001305
PATO:0002362	PATO:0002361
PATO:0000592	PATO:0000591
PATO:0000708	PATO:0000706
PATO:0002394	PATO:0002393
PATO:0001619	PATO:0001618
PATO:0001621	PATO:0001622
PATO:0001613	PATO:0001612
PATO:0001588	PATO:0001587
PATO:0001957	PATO:0001958
PATO:0001307	PATO:0001308
PATO:0001583	PATO:0001584
PATO:0002472	PATO:0002471
PATO:0001694	PATO:0001693
PATO:0000596	PATO:0000595
PATO:0002383	PATO:0002382
PATO:0000583	PATO:0000582
PATO:0001826	PATO:0001825
PATO:0040030	PATO:0040031
PATO:0000599	PATO:0000600
PATO:0001959	PATO:0001861
PATO:0000639	PATO:0002038
PATO:0002263	PATO:0002220
PATO:0001266	PATO:0001265
PATO:0001268	PATO:0001267
PATO:0001270	PATO:0001269
PATO:0001272	PATO:0001271
PATO:0001276	PATO:0001275
PATO:0001278	PATO:0001277
PATO:0001282	PATO:0001281
PATO:0001284	PATO:0001283
PATO:0001703	PATO:0001702
PATO:0001286	PATO:0001285
PATO:0002099	PATO:0002100
PATO:0001319	PATO:0001318
PATO:0000937	PATO:0000938
PATO:0000613	PATO:0000614
