PR:000024508	PR:000024509
PR:000023084	PR:000023085
PR:000023003	PR:000023011
PR:000023007	PR:000023010
PR:000023009	PR:000023008
PR:000022249	PR:000022248
PR:000019612	PR:000019611
PR:000006088	PR:000006086
PR:000026425	PR:000026426
PR:000013217	PR:000013216
PR:000006556	PR:000006590
PR:000022537	PR:000022538
PR:000024238	PR:000024239
PR:000019943	PR:000019944
PR:000007691	PR:000007693
PR:000022805	PR:000022806
PR:000022945	PR:000022944
PR:000022950	PR:000022954
PR:000023297	PR:000023298
PR:000010805	PR:000010804
PR:000011119	PR:000011120
PR:000002969	PR:000002971
PR:000023777	PR:000023892
PR:000023766	PR:000023882
PR:000023768	PR:000023886
PR:000023769	PR:000023887
PR:000023770	PR:000023888
PR:000016506	PR:000016505
PR:000016511	PR:000016509
