	abaxial to	PATO:0002046	axial to	PATO:0002036
	abnormal	PATO:0000460	normal	PATO:0000461
	absent	PATO:0000462	present	PATO:0000467
	active	PATO:0002354	inactive	PATO:0002355
	acute	PATO:0000389	chronic	PATO:0001863
	acyclic cyclicity	PATO:0002185	cyclic cyclicity	PATO:0002184
	adhesive	PATO:0002331	non-adhesive	PATO:0002332
	aerobic (for occurrence)	PATO:0001459	anaerobic (for occurrence)	PATO:0001460
	aerobic	PATO:0001455	anaerobic	PATO:0001456
	aligned with	PATO:0001653	misaligned with	PATO:0001654
	alobate	PATO:0002506	lobate	PATO:0001367
X	anaplastic	PATO:0002092	aplastic	PATO:0001483
	aneuploid	PATO:0001385	euploid	PATO:0001393
	aromatic	PATO:0002191	non-aromatic	PATO:0002192
	arrhythmic	PATO:0000504	rhythmic	PATO:0000505
	asymmetrical	PATO:0000616	symmetrical	PATO:0000632
	asynchronous	PATO:0000688	synchronous	PATO:0000695
	atonicity	PATO:0001813	tonicity	PATO:0001439
	back	PATO:0001901	front	PATO:0001900
	balanced	PATO:0000757	unbalanced	PATO:0000758
	branched	PATO:0000402	unbranched	PATO:0000414
	closed	PATO:0000608	open	PATO:0000610
	coiled	PATO:0000404	uncoiled	PATO:0000415
	colored	PATO:0000336	discolored	PATO:0000331
	compatible	PATO:0000344	incompatible	PATO:0000345
	complete structure	PATO:0005012	incomplete structure	PATO:0005013
	complex	PATO:0001504	simple	PATO:0001503
	condensed	PATO:0001485	decondensed	PATO:0002452
	conspicuous	PATO:0000463	inconspicuous	PATO:0000464
	continuous	PATO:0000689	discontinuous	PATO:0000690
	contractile	PATO:0001690	non-contractile	PATO:0001691
	coordinated	PATO:0000769	uncoordinated	PATO:0000770
	crowded	PATO:0000619	uncrowded	PATO:0000633
	curved dorsal	PATO:0001468	curved ventral	PATO:0001469
	damaged	PATO:0001167	undamaged	PATO:0001168
	dark blue	PATO:0001244	light blue	PATO:0001243
	dark brown	PATO:0001245	light brown	PATO:0001246
	dark cyan	PATO:0001248	light cyan	PATO:0001247
	dark green	PATO:0001249	light green	PATO:0001250
	dark grey	PATO:0001251	light grey	PATO:0001252
	dark magenta	PATO:0001254	light magenta	PATO:0001253
	dark orange	PATO:0001256	light orange	PATO:0001255
	dark phase	PATO:0000501	light phase	PATO:0000503
	dark purple	PATO:0001259	light purple	PATO:0001260
	dark red brown	PATO:0001288	light red brown	PATO:0001289
	dark red	PATO:0001261	light red	PATO:0001262
	dark violet	PATO:0001705	light violet	PATO:0001704
	dark yellow brown	PATO:0002412	light yellow brown	PATO:0002413
	dark yellow	PATO:0001263	light yellow	PATO:0001264
	decreased accumulation	PATO:0002271	increased accumulation	PATO:0002270
	decreased acidity	PATO:0001843	increased acidity	PATO:0001844
	decreased adhesivity	PATO:0002334	increased adhesivity	PATO:0002333
	decreased affinity	PATO:0002072	increased affinity	PATO:0002071
	decreased age	PATO:0001765	increased age	PATO:0001764
	decreased amount	PATO:0001997	increased amount	PATO:0000470
	decreased angle to	PATO:0002328	increased angle to	PATO:0002327
	decreased anterior-posterior diameter	PATO:0002042	increased anterior-posterior diameter	PATO:0002043
	decreased area	PATO:0002058	increased area	PATO:0002057
	decreased avidity	PATO:0002075	increased avidity	PATO:0002074
	decreased behavioural activity	PATO:0000761	increased behavioural activity	PATO:0000760
	decreased branchiness	PATO:0002286	increased branchiness	PATO:0002285
	decreased cellular motility	PATO:0002297	increased cellular motility	PATO:0002298
	decreased circumference	PATO:0001899	increased circumference	PATO:0001898
	decreased coiling	PATO:0001796	increased coiling	PATO:0001795
	decreased combustibility	PATO:0015023	increased combustibility	PATO:0015022
	decreased concentration	PATO:0001163	increased concentration	PATO:0001162
	decreased contractility	PATO:0001581	increased contractility	PATO:0001580
	decreased coordination	PATO:0001860	increased coordination	PATO:0001859
	decreased curvature	PATO:0001593	increased curvature	PATO:0001592
	decreased degree of illumination	PATO:0015015	increased degree of illumination	PATO:0015014
	decreased depth	PATO:0001472	increased depth	PATO:0001596
	decreased diameter	PATO:0001715	increased diameter	PATO:0001714
	decreased distance	PATO:0000375	increased distance	PATO:0000374
	decreased distribution	PATO:0001672	increased distribution	PATO:0001671
	decreased duration of temperature	PATO:0001311	increased duration of temperature	PATO:0001312
	decreased duration	PATO:0000499	increased duration	PATO:0000498
	decreased efficacy	PATO:0015003	increased efficacy	PATO:0015004
	decreased efficiency	PATO:0001675	increased efficiency	PATO:0001676
	decreased elasticity	PATO:0002288	increased elasticity	PATO:0002287
	decreased elevation	PATO:0001689	increased elevation	PATO:0001688
	decreased fatigability	PATO:0001817	increased fatigability	PATO:0001816
	decreased fecundity	PATO:0001696	increased fecundity	PATO:0001695
	decreased female fertility	PATO:0001830	increased female fertility	PATO:0001831
	decreased female receptivity	PATO:0001724	increased female receptivity	PATO:0001723
	decreased fertility	PATO:0001834	increased fertility	PATO:0001835
	decreased flexibility	PATO:0001777	increased flexibility	PATO:0001776
	decreased fluid flow	PATO:0001838	increased fluid flow	PATO:0001839
	decreased fluorescence	PATO:0001927	increased fluorescence	PATO:0001926
	decreased force	PATO:0002246	increased force	PATO:0002245
	decreased fragility	PATO:0002056	increased fragility	PATO:0002055
	decreased frequency	PATO:0000381	increased frequency	PATO:0000380
	decreased functionality	PATO:0001624	increased functionality	PATO:0001625
	decreased height	PATO:0000569	increased height	PATO:0000570
	decreased humidity	PATO:0015011	increased humidity	PATO:0015010
	decreased intensity	PATO:0001783	increased intensity	PATO:0001782
	decreased length	PATO:0000574	increased length	PATO:0000573
	decreased life span	PATO:0001604	increased life span	PATO:0001603
	decreased linear velocity	PATO:0040033	increased linear velocity	PATO:0040032
	decreased magnetism	PATO:0001684	increased magnetism	PATO:0001683
	decreased magnitude	PATO:0002018	increased magnitude	PATO:0002017
	decreased male fertility	PATO:0001833	increased male fertility	PATO:0001832
	decreased male receptivity	PATO:0001726	increased male receptivity	PATO:0001725
	decreased mass density	PATO:0001790	increased mass density	PATO:0001788
	decreased mass	PATO:0001562	increased mass	PATO:0001563
	decreased mobility	PATO:0002283	increased mobility	PATO:0002282
	decreased object quality	PATO:0002303	increased object quality	PATO:0002305
	decreased occurrence	PATO:0002052	increased occurrence	PATO:0002051
	decreased odor	PATO:0001892	increased odor	PATO:0001893
	decreased osmolality	PATO:0002028	increased osmolality	PATO:0002029
	decreased osmolarity	PATO:0001656	increased osmolarity	PATO:0001657
	decreased perimeter	PATO:0001713	increased perimeter	PATO:0001712
	decreased permeability	PATO:0001578	increased permeability	PATO:0001577
