HP:0011790	HP:0011791
HP:0032320	HP:0032321
HP:0031197	HP:0031199
HP:0001334	HP:0010953
HP:0010860	HP:0010861
HP:0030640	HP:0030641
HP:0002908	HP:0008282
HP:0031777	HP:0031778
HP:0031776	HP:0031726
HP:0100620	HP:0100621
HP:0032310	HP:0012234
HP:0040082	HP:0031588
HP:0007529	HP:0007476
HP:0012189	HP:0012539
HP:0012734	HP:0001958
HP:0006870	HP:0006988
HP:0002865	HP:0040198
HP:0011962	HP:0011961
HP:0005866	HP:0005725
HP:0031245	HP:0031246
HP:0002073	HP:0002470
HP:0002448	HP:0007030
HP:0000529	HP:0200068
HP:0003676	HP:0003680
HP:0003508	HP:0003498
HP:0011407	HP:0001519
HP:0011683	HP:0011684
HP:0011746	HP:0011745
HP:0030357	HP:0030358
HP:0007262	HP:0030176
HP:0032792	HP:0010819
HP:0011147	HP:0007270
HP:0032863	HP:0011151
