HP:0000098	HP:0004322
HP:0000103	HP:0011037
HP:0000154	HP:0000160
HP:0000158	HP:0000171
HP:0000188	HP:0011341
HP:0000239	HP:0005486
HP:0000253	HP:0004481
HP:0000274	HP:0100729
HP:0000275	HP:0000283
HP:0000276	HP:0011219
HP:0000316	HP:0000601
HP:0000322	HP:0000343
HP:0000327	HP:0430028
HP:0000331	HP:0400000
HP:0000337	HP:0000341
HP:0000350	HP:0002003
HP:0000445	HP:0000460
HP:0000470	HP:0000472
HP:0000482	HP:0000485
HP:0000527	HP:0010764
HP:0000574	HP:0045074
HP:0000637	HP:0012745
HP:0000668	HP:0011069
HP:0000691	HP:0001572
HP:0000778	HP:0010516
HP:0000821	HP:0000836
HP:0000822	HP:0002615
HP:0000829	HP:0000843
HP:0000837	HP:0030339
HP:0000842	HP:0040216
HP:0000848	HP:0003351
HP:0000859	HP:0004319
HP:0000860	HP:0008208
HP:0000890	HP:0000894
HP:0000998	HP:0001006
HP:0001169	HP:0004283
HP:0001176	HP:0200055
HP:0001196	HP:0011417
HP:0001265	HP:0001347
HP:0001376	HP:0001382
HP:0001805	HP:0001816
HP:0001821	HP:0011313
HP:0001831	HP:0010511
HP:0001847	HP:0010109
HP:0001882	HP:0001974
HP:0001943	HP:0003074
HP:0001987	HP:0100493
HP:0002148	HP:0002905
HP:0002149	HP:0003537
HP:0002150	HP:0003127
HP:0002153	HP:0002900
HP:0002154	HP:0012277
HP:0002155	HP:0012153
HP:0002490	HP:0030086
HP:0002594	HP:0006277
HP:0002677	HP:0002700
HP:0002684	HP:0010539
HP:0002690	HP:0010538
HP:0002716	HP:0002732
HP:0002731	HP:0030887
HP:0002791	HP:0002883
HP:0002850	HP:0003496
HP:0002901	HP:0003072
HP:0002902	HP:0003228
HP:0002914	HP:0012601
HP:0002917	HP:0002918
HP:0002920	HP:0003154
HP:0003073	HP:0012117
HP:0003077	HP:0045014
HP:0003081	HP:0012364
HP:0003109	HP:0012365
HP:0003113	HP:0011423
HP:0003118	HP:0008163
HP:0003124	HP:0003146
HP:0003155	HP:0003282
HP:0003233	HP:0012184
HP:0003235	HP:0003658
HP:0003237	HP:0004315
HP:0003259	HP:0012101
HP:0003281	HP:0012343
HP:0003359	HP:0012613
HP:0003429	HP:0012754
HP:0003898	HP:0003900
HP:0004005	HP:0004010
HP:0004279	HP:0011302
HP:0004313	HP:0010702
HP:0004324	HP:0004325
HP:0004330	HP:0004331
HP:0004349	HP:0011001
HP:0004368	HP:0004369
HP:0004586	HP:0004625
HP:0005537	HP:0011877
HP:0005819	HP:0012298
HP:0005990	HP:0008249
HP:0006127	HP:0010241
HP:0006266	HP:0006267
HP:0006429	HP:0008819
HP:0007048	HP:0012697
HP:0007182	HP:0030173
HP:0007440	HP:0007513
HP:0007840	HP:0040054
HP:0007988	HP:0011509
HP:0008001	HP:0012643
HP:0008972	HP:0040015
HP:0009051	HP:0012270
HP:0009126	HP:0040063
HP:0009147	HP:0009148
HP:0009158	HP:0009159
HP:0009206	HP:0009211
HP:0009217	HP:0009222
HP:0009253	HP:0009258
HP:0009264	HP:0009269
HP:0009324	HP:0009329
HP:0009338	HP:0009343
HP:0009349	HP:0009354
HP:0009385	HP:0009390
HP:0009396	HP:0009401
HP:0009413	HP:0009418
HP:0009491	HP:0009496
HP:0009505	HP:0009510
HP:0009516	HP:0009521
HP:0009527	HP:0009532
HP:0009667	HP:0009672
HP:0009678	HP:0009683
HP:0009689	HP:0009694
HP:0009804	HP:0011069
HP:0009882	HP:0012299
HP:0010018	HP:0010023
HP:0010049	HP:0010493
HP:0010116	HP:0010121
HP:0010130	HP:0010135
HP:0010141	HP:0010146
HP:0010152	HP:0010157
HP:0010165	HP:0010170
HP:0010231	HP:0010236
HP:0010249	HP:0010254
HP:0010260	HP:0010265
HP:0010271	HP:0010276
HP:0010514	HP:0040075
HP:0010580	HP:0010585
HP:0010650	HP:0430029
HP:0010809	HP:0010811
HP:0010810	HP:0010812
HP:0010839	HP:0045035
HP:0010980	HP:0010981
HP:0011487	HP:0100689
HP:0011935	HP:0012611
HP:0011969	HP:0030344
HP:0012132	HP:0012133
HP:0012138	HP:0012139
HP:0012311	HP:0012312
HP:0012402	HP:0012403
HP:0012405	HP:0012406
HP:0012505	HP:0012506
HP:0012604	HP:0012605
HP:0012608	HP:0012609
HP:0012648	HP:0012649
HP:0012685	HP:0012686
HP:0012801	HP:0012802
HP:0030088	HP:0040171
HP:0030348	HP:0030349
HP:0040013	HP:0040014
HP:0040030	HP:0040031
HP:0040053	HP:0040055
HP:0040194	HP:0040195
HP:0040253	HP:0040254
HP:0040260	HP:0040261
HP:0100047	HP:0100052
HP:0100058	HP:0100063
HP:0100069	HP:0100074
HP:0100080	HP:0100085
HP:0100103	HP:0100108
HP:0100114	HP:0100119
HP:0100125	HP:0100130
HP:0100138	HP:0100143
HP:0100149	HP:0100154
HP:0100160	HP:0100165
HP:0100172	HP:0100177
HP:0100183	HP:0100188
HP:0100194	HP:0100199
HP:0100205	HP:0100210
HP:0100216	HP:0100221
HP:0100227	HP:0100232
HP:0400004	HP:0400005
