HP:0000134	HP:0100879
HP:0000248	HP:0000268
HP:0000293	HP:0009938
HP:0000391	HP:0009905
HP:0000568	HP:0001090
HP:0000824	HP:0000845
HP:0000846	HP:0002717
HP:0000883	HP:0000900
HP:0000921	HP:0005815
HP:0000938	HP:0011002
HP:0000954	HP:0006114
HP:0000963	HP:0001072
HP:0000977	HP:0030053
HP:0001161	HP:0001180
HP:0001166	HP:0011927
HP:0001252	HP:0001276
HP:0001513	HP:0004326
HP:0001829	HP:0001849
HP:0001888	HP:0100827
HP:0001896	HP:0001923
HP:0002000	HP:0009765
HP:0002673	HP:0002812
HP:0002720	HP:0003261
HP:0002721	HP:0100326
HP:0002750	HP:0005616
HP:0002945	HP:0030320
HP:0002946	HP:0030305
HP:0003076	HP:0045013
HP:0003212	HP:0005479
HP:0003268	HP:0005961
HP:0003572	HP:0011966
HP:0003646	HP:0045011
HP:0005403	HP:0100828
HP:0005404	HP:0010976
HP:0005789	HP:0006462
HP:0006040	HP:0010038
HP:0006254	HP:0045057
HP:0006436	HP:0010504
HP:0006610	HP:0040158
HP:0008401	HP:0012746
HP:0008687	HP:0008711
HP:0009381	HP:0100807
HP:0010442	HP:0012165
HP:0010679	HP:0010683
HP:0010681	HP:0010687
HP:0010682	HP:0010688
HP:0011976	HP:0045012
HP:0012655	HP:0012656
HP:0012694	HP:0012695
HP:0012742	HP:0040036
HP:0040204	HP:0040205
HP:0040208	HP:0040209
