PATO:0000140	PATO:0001727
PATO:0000299	PATO:0000300
PATO:0000327	PATO:0000665
PATO:0000328	PATO:0001229
PATO:0000330	PATO:0000440
PATO:0000331	PATO:0000336
PATO:0000344	PATO:0000345
PATO:0000402	PATO:0000414
PATO:0000404	PATO:0000415
PATO:0000438	PATO:0001227
PATO:0000448	PATO:0000450
PATO:0000463	PATO:0000464
PATO:0000469	PATO:0000471
PATO:0000480	PATO:0000481
PATO:0000487	PATO:0000488
PATO:0000513	PATO:0000516
PATO:0000613	PATO:0000614
PATO:0000616	PATO:0000632
PATO:0000619	PATO:0000633
PATO:0000639	PATO:0002038
PATO:0000688	PATO:0000695
PATO:0000689	PATO:0000690
PATO:0000723	PATO:0000724
PATO:0000741	PATO:0000742
PATO:0000757	PATO:0000758
PATO:0000769	PATO:0000770
PATO:0000937	PATO:0000938
PATO:0000982	PATO:0000983
PATO:0000984	PATO:0000985
PATO:0001152	PATO:0001153
PATO:0001167	PATO:0001168
PATO:0001171	PATO:0001172
PATO:0001196	PATO:0001233
PATO:0001206	PATO:0001975
PATO:0001265	PATO:0001266
PATO:0001267	PATO:0001268
PATO:0001269	PATO:0001270
PATO:0001271	PATO:0001272
PATO:0001275	PATO:0001276
PATO:0001277	PATO:0001278
PATO:0001281	PATO:0001282
PATO:0001283	PATO:0001284
PATO:0001285	PATO:0001286
PATO:0001313	PATO:0001314
PATO:0001318	PATO:0001319
PATO:0001362	PATO:0001716
PATO:0001367	PATO:0002506
PATO:0001385	PATO:0001393
PATO:0001411	PATO:0001412
PATO:0001416	PATO:0001417
PATO:0001439	PATO:0001813
PATO:0001439	PATO:0001814
PATO:0001455	PATO:0001456
PATO:0001459	PATO:0001460
PATO:0001468	PATO:0001469
PATO:0001483	PATO:0002092
PATO:0001485	PATO:0002452
PATO:0001501	PATO:0001701
PATO:0001510	PATO:0001511
PATO:0001537	PATO:0001538
PATO:0001540	PATO:0001541
PATO:0001544	PATO:0001545
PATO:0001566	PATO:0001567
PATO:0001614	PATO:0001615
PATO:0001627	PATO:0001628
PATO:0001635	PATO:0001636
PATO:0001638	PATO:0001639
PATO:0001677	PATO:0001678
PATO:0001685	PATO:0001686
PATO:0001690	PATO:0001691
PATO:0001699	PATO:0001700
PATO:0001702	PATO:0001703
PATO:0001818	PATO:0002026
PATO:0001821	PATO:0002112
PATO:0001861	PATO:0001959
PATO:0001896	PATO:0001897
PATO:0001913	PATO:0001914
PATO:0001930	PATO:0001931
PATO:0002068	PATO:0002069
PATO:0002099	PATO:0002100
PATO:0002139	PATO:0002140
PATO:0002151	PATO:0002154
PATO:0002184	PATO:0002185
PATO:0002187	PATO:0002188
PATO:0002191	PATO:0002192
PATO:0002195	PATO:0002196
PATO:0002220	PATO:0002263
PATO:0002248	PATO:0002249
PATO:0002331	PATO:0002332
PATO:0002354	PATO:0002355
PATO:0002376	PATO:0002377
PATO:0002441	PATO:0002442
PATO:0002495	PATO:0002501
PATO:0005012	PATO:0005013
PATO:0025001	PATO:0025002
PATO:0040010	PATO:0040011
