PATO_0000299	PATO_0000300
PATO_0000303	PATO_0000304
PATO_0000308	PATO_0000309
PATO_0000327	PATO_0000665
PATO_0000328	PATO_0001229
PATO_0000330	PATO_0000440
PATO_0000331	PATO_0000336
PATO_0000344	PATO_0000345
PATO_0000365	PATO_0000370
PATO_0000374	PATO_0000375
PATO_0000380	PATO_0000381
PATO_0000386	PATO_0000387
PATO_0000389	PATO_0001863
PATO_0000402	PATO_0000414
PATO_0000404	PATO_0000415
PATO_0000422	PATO_0000423
PATO_0000427	PATO_0000428
PATO_0000438	PATO_0001227
PATO_0000460	PATO_0000461
PATO_0000462	PATO_0000467
PATO_0000463	PATO_0000464
PATO_0000470	PATO_0001997
PATO_0000487	PATO_0000488
PATO_0000498	PATO_0000499
PATO_0000504	PATO_0000505
PATO_0000513	PATO_0000516
PATO_0000546	PATO_0000547
PATO_0000569	PATO_0000570
PATO_0000573	PATO_0000574
PATO_0000582	PATO_0000583
PATO_0000584	PATO_0000585
PATO_0000586	PATO_0000587
PATO_0000591	PATO_0000592
PATO_0000595	PATO_0000596
PATO_0000599	PATO_0000600
PATO_0000608	PATO_0000610
PATO_0000613	PATO_0000614
PATO_0000619	PATO_0000633
PATO_0000639	PATO_0002038
PATO_0000642	PATO_0000651
PATO_0000644	PATO_0000645
PATO_0000688	PATO_0000695
PATO_0000689	PATO_0000690
PATO_0000700	PATO_0000701
PATO_0000706	PATO_0000708
PATO_0000757	PATO_0000758
PATO_0000760	PATO_0000761
PATO_0000769	PATO_0000770
PATO_0000888	PATO_0000892
PATO_0000890	PATO_0000891
PATO_0000911	PATO_0000912
PATO_0000937	PATO_0000938
PATO_0000955	PATO_0000956
PATO_0000963	PATO_0000964
PATO_0000982	PATO_0000983
PATO_0000984	PATO_0000985
PATO_0001043	PATO_0001046
PATO_0001152	PATO_0001153
PATO_0001154	PATO_0002364
PATO_0001162	PATO_0001163
PATO_0001167	PATO_0001168
PATO_0001171	PATO_0001172
PATO_0001192	PATO_0001194
PATO_0001206	PATO_0001975
PATO_0001233	PATO_0001234
PATO_0001305	PATO_0001306
PATO_0001307	PATO_0001308
PATO_0001311	PATO_0001312
PATO_0001313	PATO_0001314
PATO_0001318	PATO_0001319
PATO_0001355	PATO_0001857
PATO_0001362	PATO_0001716
PATO_0001411	PATO_0001412
PATO_0001416	PATO_0001417
PATO_0001455	PATO_0001456
PATO_0001459	PATO_0001460
PATO_0001472	PATO_0001596
PATO_0001475	PATO_0001476
PATO_0001485	PATO_0002452
PATO_0001493	PATO_0001494
PATO_0001501	PATO_0001701
PATO_0001510	PATO_0001511
