abnormal	http://purl.obolibrary.org/obo/PATO_0000460	normal	http://purl.obolibrary.org/obo/PATO_0000461
absent	http://purl.obolibrary.org/obo/PATO_0000462	present	http://purl.obolibrary.org/obo/PATO_0000467
active	http://purl.obolibrary.org/obo/PATO_0002354	inactive	http://purl.obolibrary.org/obo/PATO_0002355
acute	http://purl.obolibrary.org/obo/PATO_0000389	chronic	http://purl.obolibrary.org/obo/PATO_0001863
adhesive	http://purl.obolibrary.org/obo/PATO_0002331	non-adhesive	http://purl.obolibrary.org/obo/PATO_0002332
aerobic	http://purl.obolibrary.org/obo/PATO_0001455	anaerobic	http://purl.obolibrary.org/obo/PATO_0001456
aerobic (for occurrence)	http://purl.obolibrary.org/obo/PATO_0001459	anaerobic (for occurrence)	http://purl.obolibrary.org/obo/PATO_0001460
aligned with	http://purl.obolibrary.org/obo/PATO_0001653	misaligned with	http://purl.obolibrary.org/obo/PATO_0001654
anterodistal orientation	http://purl.obolibrary.org/obo/PATO_0002526	anterodorsal orientation	http://purl.obolibrary.org/obo/PATO_0002491
aromatic	http://purl.obolibrary.org/obo/PATO_0002191	non-aromatic	http://purl.obolibrary.org/obo/PATO_0002192
arrhythmic	http://purl.obolibrary.org/obo/PATO_0000504	rhythmic	http://purl.obolibrary.org/obo/PATO_0000505
asynchronous	http://purl.obolibrary.org/obo/PATO_0000688	synchronous	http://purl.obolibrary.org/obo/PATO_0000695
auxotrophic	http://purl.obolibrary.org/obo/PATO_0000422	prototrophic	http://purl.obolibrary.org/obo/PATO_0000423
back	http://purl.obolibrary.org/obo/PATO_0001901	front	http://purl.obolibrary.org/obo/PATO_0001900
balanced	http://purl.obolibrary.org/obo/PATO_0000757	unbalanced	http://purl.obolibrary.org/obo/PATO_0000758
behavioural active	http://purl.obolibrary.org/obo/PATO_0001707	behavioural inactive	http://purl.obolibrary.org/obo/PATO_0001706
biconcave	http://purl.obolibrary.org/obo/PATO_0002039	biconvex	http://purl.obolibrary.org/obo/PATO_0002040
branched	http://purl.obolibrary.org/obo/PATO_0000402	unbranched	http://purl.obolibrary.org/obo/PATO_0000414
closed	http://purl.obolibrary.org/obo/PATO_0000608	open	http://purl.obolibrary.org/obo/PATO_0000610
coiled	http://purl.obolibrary.org/obo/PATO_0000404	uncoiled	http://purl.obolibrary.org/obo/PATO_0000415
colored	http://purl.obolibrary.org/obo/PATO_0000336	discolored	http://purl.obolibrary.org/obo/PATO_0000331
compatible	http://purl.obolibrary.org/obo/PATO_0000344	incompatible	http://purl.obolibrary.org/obo/PATO_0000345
complete structure	http://purl.obolibrary.org/obo/PATO_0005012	incomplete structure	http://purl.obolibrary.org/obo/PATO_0005013
concave	http://purl.obolibrary.org/obo/PATO_0001857	convex	http://purl.obolibrary.org/obo/PATO_0001355
concave 3-D shape	http://purl.obolibrary.org/obo/PATO_0002008	convex 3-D shape	http://purl.obolibrary.org/obo/PATO_0002007
condensed	http://purl.obolibrary.org/obo/PATO_0001485	decondensed	http://purl.obolibrary.org/obo/PATO_0002452
conspicuous	http://purl.obolibrary.org/obo/PATO_0000463	inconspicuous	http://purl.obolibrary.org/obo/PATO_0000464
continuous	http://purl.obolibrary.org/obo/PATO_0000689	discontinuous	http://purl.obolibrary.org/obo/PATO_0000690
contractile	http://purl.obolibrary.org/obo/PATO_0001690	non-contractile	http://purl.obolibrary.org/obo/PATO_0001691
coordinated	http://purl.obolibrary.org/obo/PATO_0000769	uncoordinated	http://purl.obolibrary.org/obo/PATO_0000770
crowded	http://purl.obolibrary.org/obo/PATO_0000619	uncrowded	http://purl.obolibrary.org/obo/PATO_0000633
damaged	http://purl.obolibrary.org/obo/PATO_0001167	undamaged	http://purl.obolibrary.org/obo/PATO_0001168
decreased accumulation	http://purl.obolibrary.org/obo/PATO_0002271	increased accumulation	http://purl.obolibrary.org/obo/PATO_0002270
decreased acidity	http://purl.obolibrary.org/obo/PATO_0001843	increased acidity	http://purl.obolibrary.org/obo/PATO_0001844
decreased adhesivity	http://purl.obolibrary.org/obo/PATO_0002334	increased adhesivity	http://purl.obolibrary.org/obo/PATO_0002333
decreased affinity	http://purl.obolibrary.org/obo/PATO_0002072	increased affinity	http://purl.obolibrary.org/obo/PATO_0002071
decreased age	http://purl.obolibrary.org/obo/PATO_0001765	increased age	http://purl.obolibrary.org/obo/PATO_0001764
decreased amount	http://purl.obolibrary.org/obo/PATO_0001997	increased amount	http://purl.obolibrary.org/obo/PATO_0000470
decreased angle to	http://purl.obolibrary.org/obo/PATO_0002328	increased angle to	http://purl.obolibrary.org/obo/PATO_0002327
