ameliorates, exacerbates
broad_match, narrow_match
decreases_abundance_of, increases_abundance_of
decreases_activity_of, increases_activity_of
decreases_expression_of, increases_expression_of
decreases_folding_of, increases_folding_of
decreases_localization_of, increases_localization_of
decreases_metabolic_processing_of, increases_metabolic_processing_of
decreases_molecular_interaction, increases_molecular_interaction
decreases_molecular_modification_of, increases_molecular_modification_of
decreases_mutation_rate_of, increases_mutation_rate_of
decreases_response_to, increases_response_to
decreases_secretion_of, increases_secretion_of
decreases_splicing_of, increases_splicing_of
decreases_synthesis_of, increases_synthesis_of
decreases_transport_of, increases_transport_of
decreases_uptake_of, increases_uptake_of
end_interbase_coordinate, start_interbase_coordinate
derives_from, derives_into
entity_negatively_regulates_entity, entity_positively_regulates_entity
has_active_ingredient, has_excipient
has_completed, has_not_completed
has_decreased_amount, has_increased_amount
has_input, has_output
has_part, lacks_part
has_qualitative_value, has_quantitative_value
is_active_ingredient_of, is_excipient_of
latitude, longitude
molecular_activity_has_input, molecular_activity_has_output
negatively_correlated_with, positively_correlated_with
negatively_regulated_by, positively_regulated_by
negatively_regulates, positively_regulates
preceded_by, precedes
predisposes, prevents
process_negatively_regulated_by_process, entity_positively_regulated_by_process
process_negatively_regulates_process, process_positively_regulates_process
subclass_of, superclass_of
transcribed_from, transcribed_to
translates_to, translation_of

